attr_id,2018 NFP,usda_tag,name,unit,id
301,1,CA,"Calcium, Ca",mg,calcium
205,1,CHOCDF,"Carbohydrate, by difference",g,carbohydrates
601,1,CHOLE,Cholesterol,mg,cholesterol
208,1,ENERC_KCAL,Energy,kcal,calories
606,1,FASAT,"Fatty acids, total saturated",g,saturated_fat
204,1,FAT,Total lipid (fat),g,fat
605,1,FATRN,"Fatty acids, total trans",g,trans_fat
303,1,FE,"Iron, Fe",mg,iron
291,1,FIBTG,"Fiber, total dietary",g,fiber
306,1,K,"Potassium, K",mg,potassium
307,1,NA,"Sodium, Na",mg,sodium
203,1,PROCNT,Protein,g,protein
269,1,SUGAR,"Sugars, total",g,sugar
539,1,SUGAR_ADD,"Sugars, added",g,added_sugar
324,1,VITD,Vitamin D,IU,vitamin_d
513,0,ALA_G,Alanine,g,alanine
221,0,ALC,"Alcohol, ethyl",g,alcohol
511,0,ARG_G,Arginine,g,arginine
207,0,ASH,Ash,g,ash
514,0,ASP_G,Aspartic acid,g,aspartic acid
454,0,BETN,Betaine,mg,betaine
262,0,CAFFN,Caffeine,mg,caffeine
639,0,CAMD5,Campesterol,mg,campesterol
322,0,CARTA,"Carotene, alpha",µg,carotene_alpha
321,0,CARTB,"Carotene, beta",µg,carotene_beta
326,0,CHOCAL,Vitamin D3 (cholecalciferol),µg,vitamin_d3
421,0,CHOLN,"Choline, total",mg,choline
334,0,CRYPX,"Cryptoxanthin, beta",µg,cryptoxanthin
312,0,CU,"Copper, Cu",mg,copper
507,0,CYS_G,Cystine,g,cystine
268,0,ENERC_KJ,Energy,kJ,joules
325,0,ERGCAL,Vitamin D2 (ergocalciferol),µg,vitamin_d2
610,0,F10D0,10:00,g,10:00
611,0,F12D0,12:00,g,12:00
696,0,F13D0,13:00,g,13:00
612,0,F14D0,14:00,g,14:00
625,0,F14D1,14:01,g,14:01
652,0,F15D0,15:00,g,15:00
697,0,F15D1,15:01,g,15:01
613,0,F16D0,16:00,g,16:00
626,0,F16D1,16:1 undifferentiated,g,16:1
673,0,F16D1C,16:1 c,g,16:1_c
662,0,F16D1T,16:1 t,g,16:1_t
653,0,F17D0,17:00,g,17:00
687,0,F17D1,17:01,g,17:01
614,0,F18D0,18:00,g,18:00
617,0,F18D1,18:1 undifferentiated,g,18:1
674,0,F18D1C,18:1 c,g,18:1_c
663,0,F18D1T,18:1 t,g,18:1_t
859,0,F18D1TN7,18:1-11t (18:1t n-7),g,18:1-11t
618,0,F18D2,18:2 undifferentiated,g,18:2
670,0,F18D2CLA,18:2 CLAs,g,18:2_CLAs
675,0,F18D2CN6,"18:2 n-6 c,c",g,18:2_n-6_c
669,0,F18D2TT,"18:2 t,t",g,18:2_t
619,0,F18D3,18:3 undifferentiated,g,18:3
851,0,F18D3CN3,"18:3 n-3 c,c,c (ALA)",g,18:3_n-3_c
685,0,F18D3CN6,"18:3 n-6 c,c,c",g,18:3_n-6_c
627,0,F18D4,18:04,g,18:04
615,0,F20D0,20:00,g,20:00
628,0,F20D1,20:01,g,20:01
672,0,F20D2CN6,"20:2 n-6 c,c",g,20:2_n-6_c
689,0,F20D3,20:3 undifferentiated,g,20:3
852,0,F20D3N3,20:3 n-3,g,20:3_n-3
853,0,F20D3N6,20:3 n-6,g,20:3_n-6
620,0,F20D4,20:4 undifferentiated,g,20:4
855,0,F20D4N6,20:4 n-6,g,20:4_n-6
